claim_id,doc_note_id,section,claim_text,evidence_type,confidence,source_record_ids,gap_flag,review_date_utc
CC-001,CARE-HOME-06,Evidence Label Legend,"Direct Bernedoodle evidence is limited in this series and currently low-confidence.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-002,CARE-HOME-06,How To Use,"Most actionable items rely on general canine guideline fallback.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION;SRC-GUIDE-CAPC-PARASITE-CONTROL,false,2026-02-15T22:10:00Z
CC-003,CARE-HOME-06,How To Use,"Owner-vet shared decisions are required where Bernedoodle-specific evidence is absent.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-010,CARE-STAGE-01,Feeding Cadence and Growth Monitoring,"Puppy feeding should use complete life-stage diets with body-condition tracking.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-011,CARE-STAGE-01,Milestones and Daily Priorities,"Early preventive scheduling is foundational in puppy care.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-CAPC-PARASITE-CONTROL,false,2026-02-15T22:10:00Z
CC-012,CARE-STAGE-01,Exercise Limits,"Bernedoodle-specific exercise-loading evidence is insufficient; individualized veterinary guidance is needed.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-013,CARE-STAGE-01,Early Warning Signs,"Cardiorespiratory warning signs should be escalated quickly due to limited but relevant Bernedoodle-including evidence.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-020,CARE-STAGE-02,Growth and Body Condition,"Adolescent feeding adjustments should be based on body-condition trends.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT,false,2026-02-15T22:10:00Z
CC-021,CARE-STAGE-02,Activity Progression,"Gradual progression and recovery periods reduce risk from abrupt workload changes.",General canine guideline (fallback),Moderate,SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-022,CARE-STAGE-02,Reproductive Decision Prompts,"Spay/neuter timing in Bernedoodles should be an owner-vet shared decision due to limited direct evidence.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-023,CARE-STAGE-02,Warning,"New exercise intolerance or collapse symptoms warrant prompt clinical assessment.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-030,CARE-STAGE-03,Maintenance Routine,"Adult-stage nutrition should maintain stable body condition and avoid drift toward overweight status.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-031,CARE-STAGE-03,Maintenance Routine,"Routine oral care plus professional planning is a core adult preventive strategy.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-DENTAL-CARE,false,2026-02-15T22:10:00Z
CC-032,CARE-STAGE-03,Preventive Vet Review,"Annual preventive reset should include vaccines and parasite strategy updates.",General canine guideline (fallback),High,SRC-GUIDE-CAPC-PARASITE-CONTROL;SRC-GUIDE-AAHA-CANINE-VACCINATION,false,2026-02-15T22:10:00Z
CC-033,CARE-STAGE-03,Warning,"Adult Bernedoodles with persistent cough or collapse signs need expedited evaluation.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-040,CARE-STAGE-04,Nutrition and Activity Adjustments,"Senior feeding should be adjusted to preserve lean condition and tolerance.",General canine guideline (fallback),Moderate,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-041,CARE-STAGE-04,Senior Monitoring Framework,"Senior oral comfort tracking should remain a structured routine.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-DENTAL-CARE,false,2026-02-15T22:10:00Z
CC-042,CARE-STAGE-04,Escalation Rules,"Thresholds for escalation should be lower in senior dogs when new signs appear.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-043,CARE-STAGE-04,Warning,"Breathing changes and collapse signs in seniors need urgent veterinary triage.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-050,CARE-PLAY-05,Portioning Workflow,"Body-condition-first portioning is preferred over fixed appetite-based feeding.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-051,CARE-PLAY-05,Food Transition Protocol,"Diet transitions should be gradual to reduce GI intolerance risk.",General canine guideline (fallback),High,SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-052,CARE-PLAY-05,Treat Budgeting,"Treat intake should be controlled within a planned daily calorie budget.",General canine guideline (fallback),Moderate,SRC-GUIDE-AAHA-NUTRITION-WEIGHT,false,2026-02-15T22:10:00Z
CC-053,CARE-PLAY-05,Hydration and Feeding Context,"Hydration and meal-timing adjustments should be individualized with veterinary input when symptoms occur.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-054,CARE-PLAY-05,Warning,"Persistent GI signs should trigger veterinary evaluation rather than repeated at-home diet changes.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-060,CARE-ILL-06,Triage Framework,"Emergency signs require immediate ER escalation.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-CAPC-PARASITE-CONTROL,false,2026-02-15T22:10:00Z
CC-061,CARE-ILL-06,Disease Category Monitoring,"Structured symptom monitoring improves quality of veterinary triage.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-DENTAL-CARE;SRC-GUIDE-AAHA-NUTRITION-WEIGHT,false,2026-02-15T22:10:00Z
CC-062,CARE-ILL-06,Disease Category Monitoring,"Cardiorespiratory symptom clusters should be prioritized for assessment in this breed context.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-063,CARE-ILL-06,Triage Framework,"Same-day versus monitor decisions depend on trajectory and owner-vet risk tolerance when evidence is sparse.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-064,CARE-ILL-06,Communication Checklist,"Detailed symptom logs and media support better clinical decision quality.",General canine guideline (fallback),Moderate,SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-065,CARE-ILL-06,Warning,"Do not treat prolonged unresolved signs as routine without veterinary reassessment.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-070,CARE-PREV-07,Routine Cadence,"Preventive calendars should combine vaccination, parasite, and dental schedules.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-CAPC-PARASITE-CONTROL;SRC-GUIDE-AAHA-DENTAL-CARE,false,2026-02-15T22:10:00Z
CC-071,CARE-PREV-07,Routine Cadence,"Weekly body-condition review is useful for early correction.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT,false,2026-02-15T22:10:00Z
CC-072,CARE-PREV-07,Calendar Build Steps,"Preventive timing should be individualized to local exposure and veterinary plan.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-073,CARE-PREV-07,Warning,"Because direct Bernedoodle evidence is limited, owners should avoid one-size-fits-all preventive intervals.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-080,CARE-VET-08,Pre-Visit Data Capture,"Structured pre-visit logs improve quality and efficiency of clinical visits.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-CAPC-PARASITE-CONTROL,false,2026-02-15T22:10:00Z
CC-081,CARE-VET-08,Question Sets by Life Stage,"Dental and oral history should be included routinely in annual questioning.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-DENTAL-CARE,false,2026-02-15T22:10:00Z
CC-082,CARE-VET-08,Question Sets by Life Stage,"Life-stage-specific risk discussions require owner-vet shared decisions due to evidence gaps.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-083,CARE-VET-08,Warning,"Cardiorespiratory symptom videos are particularly useful when evaluating intermittent events.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-090,CARE-EVID-09,What Is Bernedoodle-Specific Right Now,"Current Bernedoodle-specific evidence in this vault is limited to a small subgroup in one retrospective study.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-091,CARE-EVID-09,Confidence Matrix,"Most practical guidance currently comes from general canine guideline frameworks.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-AAHA-DENTAL-CARE;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION;SRC-GUIDE-CAPC-PARASITE-CONTROL,false,2026-02-15T22:10:00Z
CC-092,CARE-EVID-09,Priority Research Updates,"Condition-by-condition Bernedoodle risk estimates remain a current evidence gap.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-093,CARE-EVID-09,Priority Research Updates,"Blocked index access keeps coverage status partial and should be resolved in future updates.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-100,CARE-APP-A,Transition Tracker,"A gradual transition template is preferred over abrupt food replacement.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-WSAVA-GLOBAL-NUTRITION,false,2026-02-15T22:10:00Z
CC-101,CARE-APP-A,Warning,"Transition pacing must be adjusted with veterinary input when symptoms emerge.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-110,CARE-APP-B,Checklist,"Structured triage checklists improve owner communication quality.",General canine guideline (fallback),Moderate,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-AAHA-DENTAL-CARE,false,2026-02-15T22:10:00Z
CC-111,CARE-APP-B,Warning,"Intermittent cardiopulmonary events should be recorded and escalated quickly.",Bernedoodle-specific evidence,Low,SRC-PMID-40187143,false,2026-02-15T22:10:00Z
CC-112,CARE-APP-B,Warning,"Severe signs should bypass routine checklist completion and trigger emergency care.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-120,CARE-APP-C,Weekly Checklist,"Weekly multi-domain checks can detect early adverse trends.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-NUTRITION-WEIGHT;SRC-GUIDE-AAHA-DENTAL-CARE;SRC-GUIDE-CAPC-PARASITE-CONTROL,false,2026-02-15T22:10:00Z
CC-121,CARE-APP-C,Warning,"Repeated declines across domains should trigger veterinary review.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
CC-130,CARE-APP-D,Tracker Table,"Consolidated tracking of vaccine, parasite, and dental dates supports preventive consistency.",General canine guideline (fallback),High,SRC-GUIDE-AAHA-CANINE-VACCINATION;SRC-GUIDE-CAPC-PARASITE-CONTROL;SRC-GUIDE-AAHA-DENTAL-CARE,false,2026-02-15T22:10:00Z
CC-131,CARE-APP-D,Warning,"Final preventive intervals should be confirmed by local veterinary risk assessment.",Evidence gap / owner-vet decision,Gap,SRC-PMID-40187143,true,2026-02-15T22:10:00Z
